event,homeTeam,standardPoint,awayTeam,gameType,winDistribute,drawDistribute,loseDistribute,finalScore,gameResult
A리그,애들유나,, 퍼스글로,일반,승1.57,무3.60,패4.50,2 : 0,승
A리그,애들유나,H -1.0, 퍼스글로,핸디캡,승2.60,무3.50,패2.15,1 : 0,승
A리그,애들유나,U/O 2.5, 퍼스글로,언더오버,U1.96,-,O1.60,2,U
KBL,원주DB  ,, 안양KGC ,일반,승2.68,-,패1.31,70 : 86,패
KBL,원주DB  ,H +6.5, 안양KGC ,핸디캡,승1.72,-,패1.80,76.5 : 86,패
KBL,원주DB  ,U/O 167.5, 안양KGC ,언더오버,U1.73,-,O1.79,156,U
KBL,원주DB  ,U/O 166.5, 안양KGC ,언더오버,U1.73,-,O1.79,156,U
프리그1,RC스트라,, 트루아AC,일반,승1.82,무3.20,패3.65,2 : 3,패
프리그1,RC스트라,H -1.0, 트루아AC,핸디캡,승3.35,무3.45,패1.82,1 : 3,패
프리그1,RC스트라,U/O 2.5, 트루아AC,언더오버,U1.87,-,O1.66,5,O
프리그1,릴OSC   ,, 랭스    ,일반,승1.56,무3.70,패4.45,1 : 1,무
프리그1,릴OSC   ,H -1.0, 랭스    ,핸디캡,승2.70,무3.35,패2.14,0 : 1,패
프리그1,릴OSC   ,U/O 2.5, 랭스    ,언더오버,U1.91,-,O1.63,2,U
EPL,브렌트퍼,, 리버풀  ,일반,승4.55,무3.85,패1.52,3 : 1,승
EPL,브렌트퍼,H +1.0, 리버풀  ,핸디캡,승2.40,무3.40,패2.35,4 : 1,승
EPL,브렌트퍼,H +2.5, 리버풀  ,핸디캡,승1.15,-,패3.75,5.5 : 1,승
EPL,브렌트퍼,U/O 2.5, 리버풀  ,언더오버,U2.13,-,O1.50,4,O
프리그1,몽펠리에,, 마르세유,일반,승4.45,무3.70,패1.56,1 : 2,패
프리그1,몽펠리에,H +1.0, 마르세유,핸디캡,승2.08,무3.50,패2.70,2 : 2,무
프리그1,몽펠리에,U/O 2.5, 마르세유,언더오버,U2.05,-,O1.54,3,O
프리그1,스타드렌,, OGC니스 ,일반,승1.73,무3.40,패3.80,2 : 1,승
프리그1,스타드렌,H -1.0, OGC니스 ,핸디캡,승3.25,무3.40,패1.87,1 : 1,무
프리그1,스타드렌,U/O 2.5, OGC니스 ,언더오버,U1.84,-,O1.69,3,O
NBA,뉴욕닉스,, 피닉선즈,일반,승1.65,-,패1.89,102 : 83,승
NBA,뉴욕닉스,H -1.5, 피닉선즈,핸디캡,승1.72,-,패1.80,100.5 : 83,승
NBA,뉴욕닉스,U/O 227.5, 피닉선즈,언더오버,U1.77,-,O1.75,185,U
NBA,뉴욕닉스,U/O 225.5, 피닉선즈,언더오버,U1.77,-,O1.75,185,U
NBA,샬럿호네,, LA레이커,일반,승1.61,-,패1.94,115 : 121,패
NBA,샬럿호네,H +2.5, LA레이커,핸디캡,승1.74,-,패1.78,117.5 : 121,패
NBA,샬럿호네,H -2.5, LA레이커,핸디캡,승1.79,-,패1.73,112.5 : 121,패
NBA,샬럿호네,U/O 232.5, LA레이커,언더오버,U1.76,-,O1.76,236,O
NBA,샬럿호네,U/O 237.5, LA레이커,언더오버,U1.76,-,O1.76,236,U
NBA,샬럿호네,U/O 238.5, LA레이커,언더오버,U1.76,-,O1.76,236,U
NBA,샬럿호네,U/O 241.5, LA레이커,언더오버,U1.76,-,O1.76,236,U
NBA,클리캐벌,, 시카불스,일반,승1.44,-,패2.26,145 : 134,승
NBA,클리캐벌,H -4.5, 시카불스,핸디캡,승1.80,-,패1.72,140.5 : 134,승
NBA,클리캐벌,U/O 222.5, 시카불스,언더오버,U1.74,-,O1.78,279,O
NBA,클리캐벌,U/O 224.5, 시카불스,언더오버,U1.74,-,O1.78,279,O
NBA,인디페이,, 토론랩터,일반,승1.80,-,패1.72,122 : 114,승
NBA,인디페이,H -2.5, 토론랩터,핸디캡,승1.71,-,패1.81,119.5 : 114,승
NBA,인디페이,H +1.5, 토론랩터,핸디캡,승1.73,-,패1.79,123.5 : 114,승
NBA,인디페이,U/O 227.5, 토론랩터,언더오버,U1.73,-,O1.79,236,O
NBA,인디페이,U/O 233.5, 토론랩터,언더오버,U1.73,-,O1.79,236,O
NBA,필라76s ,, 뉴올펠리,일반,승1.37,-,패2.46,120 : 111,승
NBA,필라76s ,H -5.5, 뉴올펠리,핸디캡,승1.81,-,패1.71,114.5 : 111,승
NBA,필라76s ,U/O 230.5, 뉴올펠리,언더오버,U1.77,-,O1.75,231,O
NBA,필라76s ,U/O 228.5, 뉴올펠리,언더오버,U1.77,-,O1.75,231,O
NBA,브루네츠,, 샌안스퍼,일반,승1.03,-,패6.04,139 : 103,승
NBA,브루네츠,H -12.5, 샌안스퍼,핸디캡,승1.75,-,패1.77,126.5 : 103,승
NBA,브루네츠,U/O 232.5, 샌안스퍼,언더오버,U1.76,-,O1.76,242,O
NBA,브루네츠,U/O 234.5, 샌안스퍼,언더오버,U1.76,-,O1.76,242,O
NBA,브루네츠,U/O 236.5, 샌안스퍼,언더오버,U1.76,-,O1.76,242,O
NBA,휴스로케,, 댈러매버,일반,승3.16,-,패1.22,106 : 111,패
NBA,휴스로케,H +7.5, 댈러매버,핸디캡,승1.76,-,패1.76,113.5 : 111,승
NBA,휴스로케,U/O 228.5, 댈러매버,언더오버,U1.79,-,O1.73,217,U
NBA,휴스로케,U/O 226.5, 댈러매버,언더오버,U1.79,-,O1.73,217,U
NBA,미네울브,, 덴버너게,일반,승2.05,-,패1.54,124 : 111,승
NBA,미네울브,H +4.5, 덴버너게,핸디캡,승1.78,-,패1.74,128.5 : 111,승
NBA,미네울브,H +3.5, 덴버너게,핸디캡,승1.71,-,패1.81,127.5 : 111,승
NBA,미네울브,U/O 231.5, 덴버너게,언더오버,U1.76,-,O1.76,235,O
NBA,골든워리,, 애틀호크,일반,승1.68,-,패1.85,143 : 141,승
NBA,골든워리,H -3.5, 애틀호크,핸디캡,승1.76,-,패1.76,139.5 : 141,패
NBA,골든워리,H -1.5, 애틀호크,핸디캡,승1.74,-,패1.78,141.5 : 141,승
NBA,골든워리,U/O 233.5, 애틀호크,언더오버,U1.74,-,O1.78,284,O
NBA,골든워리,U/O 236.5, 애틀호크,언더오버,U1.74,-,O1.78,284,O
NBA,포틀트레,, 디트피스,일반,승1.15,-,패3.75,135 : 106,승
NBA,포틀트레,H -8.5, 디트피스,핸디캡,승1.70,-,패1.82,126.5 : 106,승
NBA,포틀트레,U/O 229.5, 디트피스,언더오버,U1.78,-,O1.74,241,O
NBA,포틀트레,U/O 231.5, 디트피스,언더오버,U1.78,-,O1.74,241,O
NBA,LA클리퍼,, 마이히트,일반,승1.68,-,패1.85,100 : 110,패
NBA,LA클리퍼,H -4.5, 마이히트,핸디캡,승1.72,-,패1.80,95.5 : 110,패
NBA,LA클리퍼,H -1.5, 마이히트,핸디캡,승1.75,-,패1.77,98.5 : 110,패
NBA,LA클리퍼,U/O 220.5, 마이히트,언더오버,U1.73,-,O1.79,210,U
NBA,LA클리퍼,U/O 218.5, 마이히트,언더오버,U1.78,-,O1.74,210,U
KBL,전주KCC ,, 고양캐롯,일반,승1.40,-,패2.37,79 : 72,승
KBL,전주KCC ,H -4.5, 고양캐롯,핸디캡,승1.72,-,패1.80,74.5 : 72,승
KBL,전주KCC ,U/O 166.5, 고양캐롯,언더오버,U1.79,-,O1.73,151,U
KBL,전주KCC ,U/O 167.5, 고양캐롯,언더오버,U1.79,-,O1.73,151,U
KOVO남,우리카드,, KB손보  ,일반,승1.26,-,패2.92,3 : 0,승
KOVO남,우리카드,H -1.5, KB손보  ,핸디캡,승1.54,-,패2.05,1.5 : 0,승
KOVO남,우리카드,U/O 182.5, KB손보  ,언더오버,U1.76,-,O1.76,129,U
KOVO여,대전KGC ,, 도로공사,일반,승1.45,-,패2.24,2 : 3,패
KOVO여,대전KGC ,H -1.5, 도로공사,핸디캡,승1.78,-,패1.74,0.5 : 3,패
KOVO여,대전KGC ,U/O 182.5, 도로공사,언더오버,U1.87,-,O1.66,197,O
스페FA,에스파뇰,, RC셀타  ,일반,승2.41,무2.85,패2.70,1 : 1,무
스페FA,에스파뇰,H -1.0, RC셀타  ,핸디캡,승4.90,무3.75,패1.50,0 : 1,패
스페FA,에스파뇰,U/O 2.5, RC셀타  ,언더오버,U1.63,-,O1.91,2,U
EPL,아스널  ,, 뉴캐슬  ,일반,승1.66,무3.55,패3.95,0 : 0,무
EPL,아스널  ,H -1.0, 뉴캐슬  ,핸디캡,승2.90,무3.35,패2.03,-1 : 0,패
EPL,아스널  ,U/O 2.5, 뉴캐슬  ,언더오버,U1.84,-,O1.69,0,U
EPL,에버턴  ,, 브라이턴,일반,승3.00,무3.20,패2.04,1 : 4,패
EPL,에버턴  ,H +1.0, 브라이턴,핸디캡,승1.66,무3.60,패3.90,2 : 4,패
EPL,에버턴  ,U/O 2.5, 브라이턴,언더오버,U1.70,-,O1.82,5,O
EPL,레스터  ,, 풀럼    ,일반,승2.21,무3.20,패2.70,0 : 1,패
EPL,레스터  ,H -1.0, 풀럼    ,핸디캡,승4.50,무3.65,패1.56,-1 : 1,패
EPL,레스터  ,U/O 2.5, 풀럼    ,언더오버,U1.87,-,O1.66,1,U
EPL,맨체스U ,, 본머스  ,일반,승1.22,무4.95,패8.70,3 : 0,승
EPL,맨체스U ,H -1.0, 본머스  ,핸디캡,승1.66,무3.70,패3.80,2 : 0,승
EPL,맨체스U ,H -2.5, 본머스  ,핸디캡,승2.43,-,패1.38,0.5 : 0,승
EPL,맨체스U ,U/O 3.5, 본머스  ,언더오버,U1.46,-,O2.22,3,U
